,character,gender,power_score,agency_score,dom_score
544,7099,she/her,0,0,0.212
545,2864,he/him/his,0,0,-0.298
546,7217,she/her,0,0,-0.118
547,2943,they/them/their,-1,-1,0.7460000000000001
548,974,she/her,0,0,-0.27199999999999996
549,7391,he/him/his,1,1,-0.46799999999999997
550,7411,they/them/their,-1,1,-0.16
551,988,she/her,0,0,0.0
552,7531,he/him/his,0,0,0.47400000000000003
553,7593,she/her,-1,-1,1.1680000000000001
554,3269,she/her,1,1,0.09399999999999997
555,1016,he/him/his,0,0,0.0
556,3390,he/him/his,0,0,-0.148
557,3632,he/him/his,0,1,0.0
558,7853,he/him/his,1,1,0.146
559,1058,he/him/his,-1,-1,1.0
560,1069,he/him/his,0,1,0.0
561,1079,he/him/his,0,0,-0.534
562,1081,he/him/his,-1,0,0.142
563,1087,he/him/his,0,0,0.88
564,1104,he/him/his,0,0,-1.324
565,1124,he/him/his,0,0,-0.15800000000000003
566,8003,they/them/their,0,0,0.0
567,3900,he/him/his,-2,0,1.21
568,4306,they/them/their,0,0,-0.8939999999999999
569,1248,he/him/his,2,2,0.0
570,4663,he/him/his,3,2,-0.018000000000000016
571,8613,they/them/their,-1,0,-0.49600000000000005
572,1267,she/her,0,0,-0.53
573,4788,he/him/his,1,1,0.232
574,384,she/her,1,1,0.648
575,8841,he/him/his,-1,0,0.5680000000000001
576,1396,he/him/his,0,0,0.34
577,469,he/him/his,2,2,0.0
578,500,he/him/his,0,0,0.45
579,506,she/her,0,0,0.0
580,5148,they/them/their,-1,0,0.0
581,517,she/her,0,-1,0.092
582,528,he/him/his,1,1,0.10399999999999998
583,5322,she/her,0,0,0.0
584,555,he/him/his,0,0,0.546
585,5378,they/them/their,0,0,-0.16
586,586,he/him/his,2,2,0.0
587,1732,he/him/his,0,0,-0.182
588,5710,they/them/their,1,1,0.0
589,5743,they/them/their,0,0,0.0
590,1811,they/them/their,0,0,-0.15400000000000003
591,639,she/her,1,1,0.36
592,1918,he/him/his,0,0,-0.592
593,654,he/him/his,1,1,0.0
594,5849,he/him/his,0,0,0.36
595,5875,they/them/their,3,-1,-0.16
596,655,he/him/his,0,0,0.0
597,666,he/him/his,-1,0,-0.31799999999999995
598,5907,he/him/his,0,0,-0.088
599,1963,they/them/their,0,0,0.068
600,5913,she/her,0,0,0.062000000000000006
601,5932,they/them/their,0,0,-0.052
602,672,he/him/his,0,0,0.25
603,689,he/him/his,2,2,-0.278
604,740,he/him/his,0,0,0.33199999999999996
605,2048,he/him/his,1,1,1.02
606,6149,she/her,0,0,0.0
607,6189,she/her,-1,0,0.208
608,6397,he/him/his,1,1,-0.04200000000000004
609,6452,they/them/their,2,2,0.0
610,6473,she/her,0,-1,0.0
611,2382,she/her,0,0,-0.19199999999999998
612,6486,he/him/his,0,0,-0.184
613,2400,she/her,-2,1,0.088
614,6498,he/him/his,1,0,0.716
615,6515,they/them/their,0,0,0.284
616,2643,they/them/their,0,0,0.0
617,6783,they/them/their,0,0,-0.122
618,877,he/him/his,0,0,0.0
619,2711,she/her,0,0,1.0979999999999999
620,879,she/her,1,1,0.0
621,6969,they/them/their,0,0,0.0
622,2752,she/her,0,0,0.962
623,6990,he/him/his,0,0,0.0
624,2764,they/them/their,2,2,0.0
625,7088,they/them/their,0,0,-0.292
626,2831,they/them/their,0,0,0.09
627,2837,she/her,0,0,0.016
628,928,he/him/his,0,0,0.0
629,7132,they/them/their,0,0,0.236
630,7227,they/them/their,0,0,0.698
631,2958,they/them/their,0,0,0.594
632,950,she/her,0,0,-0.326
633,2982,she/her,-1,0,0.266
634,3132,she/her,0,0,0.346
635,185,she/her,0,1,0.802
636,3321,they/them/their,0,0,0.718
637,7753,he/him/his,0,0,-0.13
638,3334,he/him/his,0,2,0.0
639,1025,he/him/his,0,0,1.232
